temperature,ang_rate_x,ang_rate_y,ang_rate_z,temperature_1,ang_rate_x_1,ang_rate_y_1,ang_rate_z_1
5200, 5362, -1028, -273, 4880, 672, 5195, -358
5200, 5553, -862, -285, 4848, 463, 5401, -385
5168, 5866, -727, -350, 4960, 333, 5698, -491
5168, 6123, -814, -451, 4992, 489, 5930, -565
5184, 6331, -1028, -537, 4928, 716, 6143, -639
5200, 6425, -1242, -623, 4944, 909, 6260, -721
5200, 6543, -1365, -743, 4928, 1021, 6346, -831
5184, 6571, -1381, -719, 4880, 1004, 6374, -794
5200, 6440, -1330, -659, 4960, 904, 6189, -720
5168, 6195, -1320, -518, 5008, 980, 5924, -620
5184, 5906, -1334, -456, 4944, 936, 5716, -544
5184, 6012, -1229, -429, 5008, 847, 5893, -481
5232, 6399, -1135, -365, 4896, 786, 6272, -464
5120, 6810, -1180, -471, 4928, 854, 6681, -543
5168, 7005, -1289, -561, 4880, 901, 6825, -682
5232, 7134, -1169, -695, 5024, 776, 7006, -805
5184, 7426, -1003, -772, 4880, 649, 7291, -871
5184, 7608, -949, -841, 5008, 601, 7395, -928
5136, 7521, -862, -884, 4928, 490, 7328, -955
5200, 7720, -632, -889, 4928, 242, 7544, -956
5168, 7729, -452, -751, 4928, 76, 7527, -803
5200, 7538, -298, -659, 4960, -92, 7304, -712
5136, 7249, -120, -512, 4944, -242, 7031, -567
5184, 7052, -149, -325, 4880, -207, 6801, -396
5136, 6850, -317, -264, 5008, -22, 6591, -325
5168, 6601, -411, -211, 4896, 22, 6408, -301
5168, 6466, -429, -262, 4944, 42, 6278, -371
5184, 6578, -449, -345, 4992, 91, 6398, -417
5168, 6757, -458, -318, 4880, 73, 6612, -418
5184, 6948, -465, -341, 4944, 87, 6809, -449
5168, 7274, -501, -348, 5008, 158, 7155, -432
5232, 7761, -470, -327, 5008, 111, 7635, -440
5104, 8173, -530, -402, 4896, 183, 8068, -504
5200, 8637, -571, -466, 4928, 205, 8561, -582
5168, 9104, -474, -547, 4944, 122, 8978, -645
5104, 9562, -380, -634, 4960, 28, 9423, -707
5168, 10008, -367, -630, 4928, 28, 9891, -731
5200, 10546, -513, -666, 4928, 155, 10455, -742
5200, 11124, -420, -680, 4832, 76, 10970, -765
5120, 11248, -367, -742, 4896, -13, 11056, -833
5136, 10781, -172, -729, 4928, -204, 10476, -806
5168, 10138, 8, -692, 4928, -354, 9887, -764
5168, 9876, -263, -768, 4944, -12, 9722, -860
5200, 9978, -731, -842, 5008, 395, 9824, -926
5184, 9943, -787, -936, 4992, 408, 9714, -1043
5136, 9977, -588, -1067, 4928, 187, 9799, -1157
5120, 10075, -326, -1088, 4928, -103, 9929, -1185
5072, 10117, -46, -1059, 5008, -362, 9955, -1125
5184, 10150, 289, -1029, 4928, -731, 9965, -1119
5168, 10142, 626, -992, 5008, -1013, 9959, -1068
5168, 10017, 718, -877, 4896, -1038, 9769, -970
5200, 10011, 522, -870, 4944, -851, 9882, -932
5168, 10221, 307, -820, 5024, -614, 10002, -912
5168, 10151, 83, -809, 4928, -427, 9923, -908
5184, 9857, 17, -797, 4928, -333, 9609, -899
5184, 9718, -163, -841, 4928, -170, 9498, -922
5136, 9642, -280, -873, 4928, -71, 9399, -943
5200, 9201, -307, -843, 4928, -37, 8911, -939
5232, 8750, -208, -865, 4960, -181, 8530, -936
5120, 8657, 41, -871, 4928, -460, 8488, -978
5136, 8668, 391, -789, 4944, -805, 8462, -847
5120, 8353, 620, -685, 4928, -1008, 8085, -785
5120, 7771, 581, -676, 4928, -901, 7509, -764
5200, 7331, 495, -691, 5008, -837, 7097, -789
5184, 7049, 177, -598, 4944, -530, 6829, -656
5168, 6658, 75, -332, 4928, -431, 6415, -421
5200, 6435, 137, -185, 4944, -538, 6250, -255
5200, 6492, 236, -152, 5056, -621, 6336, -280
5168, 6638, 208, -141, 4928, -582, 6476, -253
5168, 6645, 152, -144, 4928, -526, 6414, -241
5184, 6352, 152, -98, 5008, -526, 6065, -189
5200, 5737, 153, 15, 5008, -543, 5427, -55
5200, 5004, 175, 168, 4944, -523, 4703, 82
5120, 4421, 58, 430, 5008, -466, 4126, 347
5136, 3885, 133, 540, 5008, -548, 3688, 438
